crop,response,exposure,label,peak_lag,peak_effect,peak_ci_low,peak_ci_high,peak_p,peak_fdr_p,n_lag_fdr_sig,max_abs_effect
西红柿,price,wind_speed,日最大风速,12.0,-0.05169957107420654,-0.19063494917639018,0.0872358070279771,0.4657935750859361,0.9997788117577607,0.0,0.05169957107420654
西红柿,volume,cloud_cover,云量,2.0,-0.04943761388669288,-0.1320755140834292,0.03320028631004347,0.24097313806064724,0.9997788117577607,0.0,0.04943761388669288
西红柿,volume,dew_point,露点温度,2.0,-0.014975697508503305,-0.1826153259312818,0.1526639309142752,0.8610073006694066,0.9997788117577607,0.0,0.014975697508503305
西红柿,volume,et0,参考蒸散ET0,11.0,-0.03098511236130142,-0.18951470874808993,0.1275444840254871,0.7016543568268572,0.9997788117577607,0.0,0.03098511236130142
西红柿,volume,humidity,相对湿度,11.0,0.034970866316495604,-0.10538374801160791,0.1753254806445991,0.6252983078434036,0.9997788117577607,0.0,0.034970866316495604
西红柿,volume,pressure_msl,海平面气压,0.0,0.037910619753720426,-0.12668288412007098,0.20250412362751183,0.6516692929146003,0.9997788117577607,0.0,0.037910619753720426
西红柿,volume,radiation,短波辐射,11.0,-0.04454966784012493,-0.19510323537567367,0.10600389969542381,0.561931281462773,0.9997788117577607,0.0,0.04454966784012493
西红柿,volume,temp_mean,日平均气温,10.0,-0.019225248262243914,-0.1920948847430626,0.15364438821857476,0.8274475644453733,0.9997788117577607,0.0,0.019225248262243914
西红柿,volume,wind_speed,日最大风速,14.0,0.25267089460347836,0.1653401520916771,0.34000163711527964,1.421343474289261e-08,3.26674769974865e-05,15.0,0.25267089460347836
青椒,price,cloud_cover,云量,9.0,0.13313130099512008,0.022697831937055754,0.2435647700531844,0.018135173131476286,0.5181478037564653,0.0,0.13313130099512008
青椒,price,dew_point,露点温度,12.0,0.09209932619590225,-0.1416880619155195,0.32588671430732397,0.440036363112004,0.9997788117577607,0.0,0.09209932619590225
青椒,price,et0,参考蒸散ET0,3.0,0.04144052095902216,-0.14351890688297142,0.22639994880101572,0.6605587732999787,0.9997788117577607,0.0,0.04144052095902216
