offset,mean,count,ci_low,ci_high,group,crop,response,n_units,ci_excl0
-10,0.009108265274192071,7,-0.14751626020287253,0.15115264406051532,rain,土豆,volume,8,False
-9,0.1534280982882213,5,0.009877591862973531,0.28915986812373357,rain,土豆,volume,8,True
-8,0.07891152226511097,4,-0.029627041715357662,0.15441512532964166,rain,土豆,volume,8,False
-7,0.0043291362157641495,6,-0.10636151155391896,0.09542566621475862,rain,土豆,volume,8,False
-6,0.07398402877778737,6,-0.2034726731154402,0.330099572899384,rain,土豆,volume,8,False
-5,-0.056456692578195654,5,-0.37357814351595836,0.29693446832257037,rain,土豆,volume,8,False
-4,0.022588499956503156,7,-0.1356392894335124,0.2166869121985978,rain,土豆,volume,8,False
-3,-0.04030697748305456,7,-0.22075146853932817,0.17880773632319816,rain,土豆,volume,8,False
-2,-0.14689637983974424,4,-0.34246437485846704,0.028575753550344377,rain,土豆,volume,8,False
-1,0.0023848633367912625,4,-0.31806381740425815,0.24856473746936336,rain,土豆,volume,8,False
0,0.12058254756248692,6,-0.1399705743849722,0.3172288987748316,rain,土豆,volume,8,False
1,-0.1261373251728549,5,-0.5487199981501822,0.24231224656153838,rain,土豆,volume,8,False
2,-0.18326135508736116,4,-0.6209348935094815,0.2797335127363457,rain,土豆,volume,8,False
3,-0.0791477815928363,6,-0.3907449173856291,0.19231780186575276,rain,土豆,volume,8,False
4,-0.05615584541043527,6,-0.4090486110467514,0.21685899872868725,rain,土豆,volume,8,False
5,-0.10205111761022927,5,-0.4242778713261634,0.14136918112152952,rain,土豆,volume,8,False
6,-0.07286480103987614,4,-0.23149418841739838,0.1035266669119354,rain,土豆,volume,8,False
7,0.09519147920275305,6,-0.06857677325369729,0.24920610592071296,rain,土豆,volume,8,False
8,0.021826526964241505,6,-0.32233270596741065,0.2611050946744998,rain,土豆,volume,8,False
9,-0.0067459857590255416,5,-0.4501028727127813,0.3152974432188314,rain,土豆,volume,8,False
10,0.005679552429485257,7,-0.30054722976682596,0.24339038174529887,rain,土豆,volume,8,False
11,0.005695688221125816,7,-0.28445979835115437,0.26021484118021637,rain,土豆,volume,8,False
12,0.009049595383382836,5,-0.3961131483134814,0.2562430421849686,rain,土豆,volume,8,False
13,0.04369785742101556,4,-0.10858214261972667,0.2075618222927005,rain,土豆,volume,8,False
14,0.1989340845131632,6,0.04345862097305559,0.3609095303500401,rain,土豆,volume,8,True
15,0.14572522530183388,6,-0.27289218763082773,0.4120313156241031,rain,土豆,volume,8,False
16,0.16419952466128826,5,-0.35950397086136554,0.5485341619961545,rain,土豆,volume,8,False
17,0.12824857382412044,6,-0.2276752998051357,0.4464782935037893,rain,土豆,volume,8,False
18,0.10805511137350297,7,-0.2038743684421814,0.413165497272701,rain,土豆,volume,8,False
19,0.1890469056896048,4,-0.42147949290651976,0.7194378850028835,rain,土豆,volume,8,False
20,0.1964076562754562,3,0.18395202531179877,0.20292371567159112,rain,土豆,volume,8,True
21,0.16070637580920227,5,-0.08238055077576735,0.3771251372172053,rain,土豆,volume,8,False
-14,-0.09638826487171777,6,-0.25082947010838813,0.05961382614772461,rain,尖椒,price,8,False
-13,-0.029023438181366025,5,-0.26407322937689237,0.18644720275665574,rain,尖椒,price,8,False
-12,0.13655699217425776,4,-0.014503659112369992,0.32959090288745835,rain,尖椒,price,8,False
