crop,model,hazard_key,hazard_label,window,beta_A,se_A,p_A,beta_C,se_C,p_C,beta_B,se_B,p_B,delta_C_to_B,r2_A,r2_C,r2_B,n,fdr_p_volume
芸豆,per-crop HAC,soil_z,土壤水分异常,lag0-2,-0.061651846794913964,0.11336025898109925,0.5865394170772731,0.011327306357340007,0.016652045628588266,0.4963555943228469,0.01096847049534993,0.016535361375408193,0.5071165459096505,-0.0003588358619900766,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
芸豆,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.04650132817295761,0.13882908212583497,0.7376599396490711,-0.0025894460840424384,0.017167360687954738,0.8801055436663987,-0.0031537135342493312,0.01749773520771377,0.8569676682450091,-0.0005642674502068928,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
芸豆,per-crop HAC,wind,风速,lag0-2,0.15979456840755799,0.09027476341059736,0.07671194168734001,0.03321600175767258,0.015490633720056329,0.03201177302464002,0.03353904792086299,0.015350199503148377,0.028894282737968565,0.000323046163190413,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
芸豆,per-crop HAC,wind,风速,lag3-14,0.2081190861644115,0.20615314802749146,0.3127175020525429,-0.03883288671664177,0.02539691815141865,0.1262546941073998,-0.0387728354309863,0.02551657461620889,0.12863274225357346,6.0051285655469966e-05,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
芸豆,per-crop HAC,volume_z,成交量异常,同日,,,,,,,0.0027021679015567157,0.011217589800877406,0.8096429503926691,,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,0.8096429503926691
芸豆,per-crop HAC,price_lag1,价格滞后(上一交易日),t-1,,,,0.9669209321806432,0.008261761259068105,0.0,0.9671721836611897,0.008393514101352143,0.0,,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
芹菜,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.004429651033644396,0.06535597745116824,0.9459629221770225,0.019401707452499493,0.01209738804230124,0.10875966635451503,0.019122314681857808,0.011928775740606008,0.10892563782740931,-0.0002793927706416857,0.0719931705700193,0.926084992240342,0.9261088982063809,1409,
芹菜,per-crop HAC,precip_3d,3日累计降水,lag3-14,-0.11154015589208538,0.1615260961135075,0.4898549544430869,0.0007919174108668159,0.018907152728278243,0.9665907401952785,0.0008833760277265033,0.018968252891325414,0.9628549135495079,9.145861685968745e-05,0.0719931705700193,0.926084992240342,0.9261088982063809,1409,
芹菜,per-crop HAC,temp_max,日最高气温,lag0-2,0.14089845907940918,0.24514180362873733,0.5654515365238527,0.0030959811315548896,0.046027596941457506,0.9463718669919164,0.006264150519725821,0.045748093689844574,0.891088474548049,0.0031681693881709314,0.0719931705700193,0.926084992240342,0.9261088982063809,1409,
芹菜,per-crop HAC,temp_max,日最高气温,lag3-14,0.31175462196335224,0.43539957752235653,0.4739792598155318,-0.020119490832940165,0.05049356663553766,0.6902937026899769,-0.02294113336049035,0.05034354542926507,0.648611726188032,-0.0028216425275501833,0.0719931705700193,0.926084992240342,0.9261088982063809,1409,
