cluster,crop,response,shock_magnitude,trough_offset,price_shock,recovery_offset,recovery_days,recovery_slope_z_per_day,censored
6,芹菜,volume,-0.11241512657943259,0,0.5620756328971626,2.0,2.0,0.28103781644858133,False
6,茄子,price,0.0022608628809273057,0,1.027185368901229,1.0,1.0,0.2713035457112558,False
6,茄子,volume,-0.6359484303636469,21,0.3276097974600605,,,,True
6,西红柿,price,-0.04313603694327084,3,0.5372397328389159,7.0,4.0,0.03137166323146959,False
6,西红柿,volume,-1.3446299656662446,0,-0.21322611106034298,2.0,2.0,0.2175776643472888,False
6,青椒,price,0.21208987214652963,1,1.0814335176941412,2.0,1.0,0.2398189367027892,False
6,青椒,volume,-0.5620756328971628,9,0.7869058860560276,10.0,1.0,1.1241512657943253,False
6,韭菜,price,-1.0554758430112532,15,0.6123558531490545,16.0,1.0,0.2779719493600513,False
6,韭菜,volume,-1.0033050047214354,3,0.8515445838392015,4.0,1.0,0.843113449345744,False
6,黄瓜,price,-3.613895712558675,17,-0.9159326746522933,21.0,4.0,0.3136167225591814,False
6,黄瓜,volume,-0.37940105220558484,0,0.9695804667476057,2.0,2.0,0.42155672467287203,False
8,土豆,price,-0.4697346360640564,21,0.39746776897727876,,,,True
8,土豆,volume,-0.42922139239419693,0,0.3065867088529979,1.0,1.0,0.12263468354119911,False
8,尖椒,price,0.17441377214748327,1,0.47418744302597016,4.0,3.0,0.04542025316340714,False
8,尖椒,volume,-0.44966050631773014,1,0.6744907594765952,4.0,3.0,0.3747170885981084,False
8,甘蓝,price,0.1547778795430503,0,0.6375712652736659,1.0,1.0,0.028399610925330332,False
8,甘蓝,volume,-0.7619922634086941,1,0.4776123756293728,4.0,3.0,0.09722389325788759,False
8,芸豆,price,-0.06773855696031095,20,0.7659667594742794,21.0,1.0,0.01157924050603576,False
8,芸豆,volume,-1.0387157695939566,4,0.31026574935923384,7.0,3.0,0.22483025315886507,False
8,芹菜,price,-0.22426817752596817,0,0.6019830028328612,4.0,4.0,0.08009577768784569,False
8,芹菜,volume,-0.5395926075812761,13,0.2697963037906381,15.0,2.0,0.3372453797382976,False
8,茄子,price,-0.09948738702279791,0,1.0134223661135846,1.0,1.0,0.37096991771212773,False
8,茄子,volume,-0.43841899365978687,1,0.3709699177121274,4.0,3.0,0.2248302531588651,False
8,西红柿,price,0.1552897329957743,4,0.6729221763150217,5.0,1.0,0.0,False
8,西红柿,volume,-0.19271164556474152,0,1.0599140506060782,1.0,1.0,0.5781349366942244,False
8,青椒,price,-0.012080431513014078,14,0.47113682900753184,15.0,1.0,0.033556754202816175,False
8,青椒,volume,-1.5288457214802824,0,0.7194568101083683,1.0,1.0,1.1241512657943253,False
8,韭菜,price,0.7564227658424638,21,1.2612563404200383,,,,True
8,韭菜,volume,-0.7344454936522925,0,0.16487551898316777,1.0,1.0,0.749434177196217,False
8,黄瓜,price,1.1276101927660014,21,2.701421964878059,,,,True
8,黄瓜,volume,-0.21920949682989344,0,0.6239039525158506,1.0,1.0,0.8431134493457441,False
13,土豆,price,-0.24731327847475162,2,0.292279329106524,3.0,1.0,0.044966050631773,False
13,土豆,volume,0.390080489230631,4,0.569944691757723,7.0,3.0,0.0,False
13,尖椒,price,-0.21448806151355715,21,0.08228787265614458,,,,True
13,尖椒,volume,-0.34848689239624087,0,0.7756643733980845,11.0,11.0,0.10219556961766595,False
13,甘蓝,price,-0.33599632277630403,7,-0.11116606961743875,8.0,1.0,0.0499622784797481,False
13,甘蓝,volume,-0.5545812911252006,17,0.044966050631772836,,,,True
13,芸豆,price,-0.7761996835246524,21,-0.36936398733242076,,,,True
13,芸豆,volume,-1.1129097531363823,17,-0.3035208417644679,,,,True
13,芹菜,price,-0.4641561410608678,21,0.3700824298707112,,,,True
13,芹菜,volume,-0.1686226898691488,0,0.39345294302801387,11.0,11.0,0.05109778480883297,False
13,茄子,price,-0.46496809802216366,1,0.12341745811699378,7.0,6.0,0.04544441287253655,False
13,茄子,volume,-0.6744907594765952,21,0.36318733202585896,,,,True
13,西红柿,price,-0.45415711138090714,0,-0.0644513392388752,2.0,2.0,0.05995473417569719,False
13,西红柿,volume,-0.35169875315565313,0,0.4673257404944982,7.0,7.0,0.04129535262101604,False
13,青椒,price,0.0840047582257214,2,0.8014176569417365,3.0,1.0,0.2697963037906383,False
13,青椒,volume,-1.0791852151625523,9,0.04496605063177306,11.0,2.0,0.5620756328971627,False
13,韭菜,price,-0.9247623307560692,14,-0.21477205762281015,15.0,1.0,0.24849659559663995,False
13,韭菜,volume,0.05058680696074469,11,1.7368137056522328,14.0,3.0,0.0,False
13,黄瓜,price,-2.5508014176569436,2,0.39243098733183723,7.0,5.0,0.11212313923766795,False
13,黄瓜,volume,0.08431134493457443,7,0.9274247942803184,8.0,1.0,0.0,False
