crop,lead_k,direction,effect,se,t,p_value,n,r2,fdr_p,fdr_p_within,ci_low,ci_high
甘蓝,-10,价格领先成交量,-0.031540602601964396,0.08892204725539266,-0.3546994651548761,0.7228147516652752,1400,0.0016002245056376818,0.7734918006750178,0.7938104736154783,-0.205827815222534,0.1427466100186052
甘蓝,-9,价格领先成交量,-0.03211676286218157,0.09023776099017067,-0.35591267458065534,0.7219059635802038,1401,0.001640680716348819,0.7734918006750178,0.7938104736154783,-0.20898277440291607,0.14474924867855293
甘蓝,-8,价格领先成交量,-0.04039529401318581,0.09328094281920865,-0.43304980408996796,0.6649785882337989,1402,0.0021933953487556224,0.7532960569836002,0.7938104736154783,-0.22322594193883477,0.14243535391246315
甘蓝,-7,价格领先成交量,-0.04612777754522968,0.09642837243046204,-0.4783631246964588,0.632391774711142,1403,0.0026537874079466395,0.7315074028875033,0.7938104736154783,-0.23512738750893528,0.14287183241847592
甘蓝,-6,价格领先成交量,-0.047009228213029566,0.09890768309781713,-0.47528388837638286,0.6345846412989874,1404,0.002743280259346781,0.7315074028875033,0.7938104736154783,-0.2408682870847511,0.146849830658692
甘蓝,-5,价格领先成交量,-0.041446883142484965,0.10028533673614813,-0.413289564470748,0.6793944746129095,1405,0.002302409360955049,0.75653402594461,0.7938104736154783,-0.2380061431453353,0.1551123768603654
甘蓝,-4,价格领先成交量,-0.04121789685131632,0.10288768309601708,-0.4006106038256383,0.688706837411645,1406,0.00229224109241144,0.75653402594461,0.7938104736154783,-0.24287775571950979,0.16044196201687713
甘蓝,-3,价格领先成交量,-0.04723999249077275,0.10583126191968664,-0.4463708703258428,0.6553293709414486,1407,0.0027978215398868356,0.7452765395020396,0.7938104736154783,-0.2546692658533586,0.16018928087181306
甘蓝,-2,价格领先成交量,-0.05174909866613675,0.10899785762740095,-0.47477170462410584,0.6349497030013946,1408,0.003220405131650894,0.7315074028875033,0.7938104736154783,-0.2653848996158426,0.1618867022835691
甘蓝,-1,价格领先成交量,-0.04729592023625653,0.11081710105844553,-0.42679261399657453,0.6695303866537867,1409,0.0028167397775927805,0.755501214512055,0.7938104736154783,-0.26449743831080974,0.1699055978382967
甘蓝,0,同日,-0.03738844771293454,0.11224664795200963,-0.3330918864402948,0.7390649237109626,1410,0.002035645661689345,0.7850872815977258,0.7938104736154783,-0.2573918776988734,0.18261498227300432
甘蓝,1,成交量领先价格,-0.041299781164039005,0.11460511895774546,-0.3603659377489596,0.7185734955842399,1409,0.0021506908038477768,0.7734918006750178,0.7938104736154783,-0.2659258143212201,0.1833262519931421
甘蓝,2,成交量领先价格,-0.046409568231707304,0.11576922563046135,-0.40088000916450767,0.6885084687303751,1408,0.0025919604215923764,0.75653402594461,0.7938104736154783,-0.27331725046741157,0.18049811400399696
甘蓝,3,成交量领先价格,-0.048689580767331875,0.11707105535492004,-0.4158976838444093,0.6774848744312447,1407,0.002809819706778627,0.75653402594461,0.7938104736154783,-0.2781488492629751,0.1807696877283114
甘蓝,4,成交量领先价格,-0.04716935493921654,0.11626637910621941,-0.4057007305278102,0.684962505449083,1406,0.0026827933919175706,0.75653402594461,0.7938104736154783,-0.2750514579874066,0.1807127481089735
甘蓝,5,成交量领先价格,-0.0470830672231063,0.11592282678310813,-0.40615872239898726,0.6846259810670947,1405,0.0026851011671761293,0.75653402594461,0.7938104736154783,-0.2742918077179982,0.18012567327178564
甘蓝,6,成交量领先价格,-0.055095143984663725,0.11628773545232235,-0.47378292964740537,0.6356547087160374,1404,0.0034711545890250273,0.7315074028875033,0.7938104736154783,-0.28301910547121556,0.17282881750188808
甘蓝,7,成交量领先价格,-0.06241757443937775,0.11659707394045113,-0.5353271083908665,0.5924236842795649,1403,0.004298024190756422,0.6983856440694058,0.7938104736154783,-0.29094783936266194,0.16611269048390645
甘蓝,8,成交量领先价格,-0.06801057226434104,0.11656249133842951,-0.5834687598335385,0.5595777815002785,1402,0.004999212766450434,0.6623573740207378,0.7938104736154783,-0.2964730552876629,0.1604519107589808
甘蓝,9,成交量领先价格,-0.06945370120238092,0.11503884720691407,-0.6037412829551252,0.5460156626866426,1401,0.0052079727359437555,0.6543162899963899,0.7938104736154783,-0.29492984172793246,0.15602243932317064
甘蓝,10,成交量领先价格,-0.07282827001896837,0.11416718736861457,-0.6379089447463204,0.5235329547668796,1400,0.005687712871871642,0.6343695361920793,0.7938104736154783,-0.29659595726145294,0.15093941722351617
