method,crop,response,hazard_key,hazard_label,window,lag_a,lag_b,effect,se,t,p_value,n,r2,p_joint_windows,fdr_p_within,fdr_p_joint,ci_low,ci_high
hist,芹菜,price,precip_7d,7日累计降水,lag3-6,3,6,0.02532255457780258,0.052916336041846285,0.47853945439036977,0.6322662997367248,1400,0.02522262903161232,,0.6322662997367248,,-0.07839346406421614,0.12903857321982132
hist,芹菜,price,precip_7d,7日累计降水,lag7-13,7,13,-0.042493956660243144,0.06888473013096325,-0.6168849987428837,0.5373105821674735,1400,0.02522262903161232,,0.6322662997367248,,-0.17750802771693108,0.09252011439644481
hist,芹菜,price,precip_7d,7日累计降水,lag14-30,14,30,0.2662594584064023,0.21750976672136713,1.2241264492158836,0.22090452979040276,1400,0.02522262903161232,,0.6322662997367248,,-0.16005968436747725,0.6925786011802819
hist,芹菜,price,temp_max,日最高气温,lag0-2,0,2,-0.009104388106650235,0.21625511623573482,-0.04210022063351208,0.9664188042881904,1400,0.013642812577926544,,0.9664188042881904,,-0.4329644159286905,0.41475563971539
hist,芹菜,price,temp_max,日最高气温,lag3-6,3,6,0.20569893303789769,0.17288994418513626,1.1897680574043594,0.2341375675767826,1400,0.013642812577926544,,0.681759673425117,,-0.13316535756496936,0.5445632236407647
hist,芹菜,price,temp_max,日最高气温,lag7-13,7,13,0.12286285778615,0.18706734750774007,0.6567840909866242,0.5113197550688378,1400,0.013642812577926544,,0.681759673425117,,-0.24378914332902055,0.4895148589013205
hist,芹菜,price,temp_max,日最高气温,lag14-30,14,30,-0.2526933105052561,0.35300578578133307,-0.715833339518648,0.47409426346133243,1400,0.013642812577926544,,0.681759673425117,,-0.944584650636669,0.4391980296261567
hist,芹菜,price,temp_min,日最低气温,lag0-2,0,2,0.03097796565441007,0.23979898089120508,0.12918305798999427,0.8972128016393357,1400,0.009308129110882413,,0.9768198521764087,,-0.43902803689235187,0.500983968201172
hist,芹菜,price,temp_min,日最低气温,lag3-6,3,6,0.12643439160642342,0.19153319125399573,0.6601173967740996,0.50917849551041,1400,0.009308129110882413,,0.9768198521764087,,-0.24897066325140824,0.501839446464255
hist,芹菜,price,temp_min,日最低气温,lag7-13,7,13,0.006412514622103328,0.22069430318880495,0.029056094921568472,0.9768198521764087,1400,0.009308129110882413,,0.9768198521764087,,-0.42614831962795435,0.43897334887216105
hist,芹菜,price,temp_min,日最低气温,lag14-30,14,30,-0.0929371397139157,0.38781606556662684,-0.23964231491577828,0.8106075578639615,1400,0.009308129110882413,,0.9768198521764087,,-0.8530566282245043,0.6671823487966729
hist,芹菜,price,vpd,饱和水汽压差VPD,lag0-2,0,2,-0.0034852190534465123,0.09112935017597433,-0.038244748225642104,0.9694925430502578,1400,0.008656234498629178,,0.9694925430502578,,-0.1820987453983562,0.17512830729146317
hist,芹菜,price,vpd,饱和水汽压差VPD,lag3-6,3,6,0.0871361511783737,0.08339318218832757,1.0448833932442265,0.29607686595503657,1400,0.008656234498629178,,0.5999091890297813,,-0.07631448591074833,0.2505867882674957
hist,芹菜,price,vpd,饱和水汽压差VPD,lag7-13,7,13,0.07187340098609339,0.09512995679270222,0.7555285780557305,0.44993189177233595,1400,0.008656234498629178,,0.5999091890297813,,-0.11458131432760298,0.25832811629978975
hist,芹菜,price,vpd,饱和水汽压差VPD,lag14-30,14,30,-0.17980015905023275,0.18539408889629755,-0.9698268165971903,0.3321328235636055,1400,0.008656234498629178,,0.5999091890297813,,-0.543172573286976,0.18357225518651046
hist,芹菜,price,soil_z,土壤水分异常,lag0-2,0,2,-0.004075024761660599,0.07756048665950438,-0.05253995864608515,0.9580984568906233,1400,0.020396846854066286,,0.9580984568906233,,-0.15609357861428919,0.14794352909096797
hist,芹菜,price,soil_z,土壤水分异常,lag3-6,3,6,0.00906855549610916,0.04349275906609785,0.20850724789216704,0.8348329240037035,1400,0.020396846854066286,,0.9580984568906233,,-0.07617725227344262,0.09431436326566094
hist,芹菜,price,soil_z,土壤水分异常,lag7-13,7,13,-0.00527860329017762,0.06870635129380315,-0.07682846186381193,0.938760008356847,1400,0.020396846854066286,,0.9580984568906233,,-0.13994305182603178,0.12938584524567653
hist,芹菜,price,soil_z,土壤水分异常,lag14-30,14,30,0.2075547372830127,0.14525854246424671,1.4288642427628606,0.15304325652181083,1400,0.020396846854066286,,0.6121730260872433,,-0.07715200594691085,0.4922614805129363
hist,芹菜,volume,precip_1d,当日降水,lag0-2,0,2,-0.13879230639688292,0.0714442253464215,-1.942666544761336,0.05205646094667052,1400,0.03065337149627312,,0.20822584378668207,,-0.278822988075869,0.0012383752821032157
hist,芹菜,volume,precip_1d,当日降水,lag3-6,3,6,0.016611538977152816,0.09780173406311922,0.16984912523567394,0.8651287918234644,1400,0.03065337149627312,,0.8651287918234644,,-0.17507985978656085,0.20830293774086647
hist,芹菜,volume,precip_1d,当日降水,lag7-13,7,13,-0.02279073086309984,0.10137719876089721,-0.22481121141305974,0.8221261438718371,1400,0.03065337149627312,,0.8651287918234644,,-0.22149004043445839,0.17590857870825868
hist,芹菜,volume,precip_1d,当日降水,lag14-30,14,30,0.11270950339743882,0.22508250737253105,0.5007475023854023,0.6165488365055545,1400,0.03065337149627312,,0.8651287918234644,,-0.32845221105272204,0.5538712178475996
hist,芹菜,volume,precip_3d,3日累计降水,lag0-2,0,2,-0.10978944167176022,0.06863124447646679,-1.5997005811166123,0.10966502289637305,1400,0.03056431035941376,,0.4386600915854922,,-0.24430668084563512,0.02472779750211468
hist,芹菜,volume,precip_3d,3日累计降水,lag3-6,3,6,0.04159236316868627,0.061860774886258484,0.6723543836164496,0.5013581157150764,1400,0.03056431035941376,,0.6838228286954204,,-0.07965475560838035,0.16283948194575287
hist,芹菜,volume,precip_3d,3日累计降水,lag7-13,7,13,-0.028424181694728136,0.06979504993966788,-0.40725211486055984,0.6838228286954204,1400,0.03056431035941376,,0.6838228286954204,,-0.16522247957647718,0.10837411618702092
hist,芹菜,volume,precip_3d,3日累计降水,lag14-30,14,30,0.08646191167143669,0.157230305731685,0.5499061473491297,0.5823837476178308,1400,0.03056431035941376,,0.6838228286954204,,-0.2217094875626659,0.39463331090553927
hist,芹菜,volume,precip_7d,7日累计降水,lag0-2,0,2,-0.08453925217187892,0.09672893935491332,-0.8739809692494552,0.382128617695663,1400,0.028714233580893644,,0.8554074426532672,,-0.27412797330750904,0.10504946896375118
