scope,response,crop,hazard,hazard_label,window_days,beta_hazard,p_hazard,beta_interaction,p_interaction,n,r2,slope_in_window,slope_out_window,fdr_p_interaction,sig_fdr05
all,price,茄子,vpd,饱和水汽压差VPD,285,-0.07762075357822007,0.5325821614308808,-0.001266078168983449,0.9927965687837603,1410,0.005392879699159248,-0.07648818949257867,-0.08036687607972853,0.9950342515612569,False
all,price,茄子,wind,风速,285,0.1266585326814786,0.12944595942926754,-0.11532655742833653,0.21845505157880096,1410,0.012207846652806498,0.016183889495036508,0.12695694734984037,0.9362359353377184,False
all,price,西红柿,precip_3d,3日累计降水,760,-0.12288313881044927,0.6576646614215329,0.14303875802032942,0.6125051797862662,1410,0.00695716600449825,0.01612390227808668,-0.11665071140609815,0.9950342515612569,False
all,price,西红柿,soil_z,土壤水分异常,760,0.01107870674715992,0.9720670269004259,0.0191187007139239,0.9517274182302612,1410,0.006527174265979707,0.028821261395965542,0.005174632273245956,0.9950342515612569,False
all,price,西红柿,temp_max,日最高气温,760,-0.14357643586993132,0.5681890909184559,0.04872061505748364,0.8949925535811327,1410,0.009439832078357635,-0.12296917955008335,-0.15650047210150128,0.9950342515612569,False
all,price,西红柿,vpd,饱和水汽压差VPD,760,-0.1641209459135051,0.6716674211160534,0.14860663923709935,0.7126789816429397,1410,0.0074665368951091216,-0.020099787655152527,-0.18039135167822712,0.9950342515612569,False
all,price,西红柿,wind,风速,760,-0.06001303437764897,0.6783056962111961,0.07940683464383089,0.6035649622271658,1410,0.007286428462705663,0.024344236985658057,-0.06196776318727499,0.9950342515612569,False
all,price,青椒,precip_3d,3日累计降水,1068,0.09181122739842291,0.3357434548057363,-0.055297811506754245,0.6176358847996162,1410,0.008116773533654476,0.03417408325790833,0.08689771818970621,0.9950342515612569,False
all,price,青椒,soil_z,土壤水分异常,1068,0.3401905734054959,0.04045985606876856,-0.23022212755499238,0.21630648457608348,1410,0.030452144880421583,0.10721703419843347,0.3359144523145781,0.9362359353377184,False
all,price,青椒,temp_max,日最高气温,1068,-0.008289575059886187,0.9797899079718371,0.05160276048545895,0.880806833888536,1410,0.006863504113491015,0.037728375334810146,-0.03766396441942695,0.9950342515612569,False
all,price,青椒,vpd,饱和水汽压差VPD,1068,-0.2000071158202976,0.19448456658526747,0.2037988066996446,0.256189532607108,1410,0.008716421654300532,0.003221964960781327,-0.2118601892026505,0.9735980763328868,False
all,price,青椒,wind,风速,1068,0.10108947913597113,0.34922807553275026,0.0981146630850045,0.4643701087392007,1410,0.026936293767181763,0.2024653306839606,0.10233060704085394,0.9950342515612569,False
all,price,黄瓜,precip_3d,3日累计降水,734,-0.11041615513852224,0.6904218244086242,0.23660821597594572,0.40834131815632235,1410,0.011940201016538254,0.12512186874785275,-0.10957479943036318,0.9735980763328868,False
all,price,黄瓜,soil_z,土壤水分异常,734,-0.04899770951363993,0.800837465457028,0.23809538297006166,0.27462253543128157,1410,0.014955555930923126,0.1851977386939662,-0.04974761013541624,0.9735980763328868,False
all,price,黄瓜,temp_max,日最高气温,734,-0.18632487540202072,0.18186042112169032,0.21507111953808078,0.3011597930253612,1410,0.011044742940055863,0.022321441059930627,-0.18332219169851136,0.9735980763328868,False
all,price,黄瓜,vpd,饱和水汽压差VPD,734,-0.12034287167592667,0.2917104504154163,0.10475621994591587,0.4875734228220229,1410,0.007047371695388827,-0.018600817813146632,-0.1165864852227926,0.9950342515612569,False
all,price,黄瓜,wind,风速,734,-0.1274643953489473,0.2677277120844509,0.02751639095054613,0.8488633847891123,1410,0.010463084504912956,-0.09555608787675568,-0.12852726538450554,0.9950342515612569,False
all,volume,土豆,precip_3d,3日累计降水,300,0.014560109766983097,0.765744683881456,-0.024325983691659628,0.8595843324249209,1410,0.002377605549751305,-0.010544379058848528,0.01559176192402014,0.9950342515612569,False
all,volume,土豆,soil_z,土壤水分异常,300,-0.06039999593783544,0.56128476256943,0.005781815754317375,0.9658552547946897,1410,0.005380591970174042,-0.05344883409408368,-0.0592041643440466,0.9950342515612569,False
all,volume,土豆,temp_max,日最高气温,300,-0.009630099947651488,0.9154046297445099,-0.12245337485920171,0.6641920720986488,1410,0.002933059507933211,-0.12215839000247694,-0.007196397787082845,0.9950342515612569,False
all,volume,土豆,vpd,饱和水汽压差VPD,300,-0.017608856031027388,0.8485775814879047,-0.00550163714367549,0.9759357844484399,1410,0.002486613155739059,-0.017173126145865143,-0.01757752117139851,0.9950342515612569,False
all,volume,土豆,wind,风速,300,-0.30737698854678225,1.3975413292572678e-07,0.08493115766169047,0.3877592712095427,1410,0.0831596171829384,-0.22105135148152433,-0.308664484871499,0.9735980763328868,False
all,volume,尖椒,precip_3d,3日累计降水,924,-0.681911742380321,0.35911737871645355,0.622588307466454,0.40772000701952493,1410,0.015876820149008042,-0.05161983005127535,-0.7027258294548298,0.9735980763328868,False
