crop,response,metric,hazard_key,hazard_label,peak_lag,peak_effect,peak_se,peak_p,peak_fdr_p,peak_ci_low,peak_ci_high,sum_effect_0_14,n_lag_sig_within,n_lag_focus,corr_max_abs
甘蓝,price,pct,vpd,饱和水汽压差VPD,1,-5.514479152707895,4.418534877661273,0.21201882213513168,0.9993687142937572,-14.17480751292399,3.1458492075082,-75.81889190516111,0,15,0.10449555402504175
甘蓝,price,z,precip_1d,当日降水,14,0.0522889155155049,0.04870807676060238,0.2830395184627651,0.9993687142937572,-0.043178914935275765,0.14775674596628557,0.22370199965585377,0,15,0.03646065631357177
甘蓝,price,z,precip_3d,3日累计降水,14,0.07570720059145641,0.06981480595579477,0.2781873249551924,0.9993687142937572,-0.06112981908190132,0.21254422026481415,0.41065654459147405,0,15,0.0555211907185362
甘蓝,price,z,precip_7d,7日累计降水,14,0.09665925050898315,0.09415549594424436,0.304612764638441,0.9993687142937572,-0.08788552154173578,0.28120402255970206,0.6661633155563383,0,15,0.06728711992012773
甘蓝,price,z,soil_z,土壤水分异常,13,0.09097752225108224,0.11184692481523115,0.4159824378154825,0.9993687142937572,-0.1282424503867708,0.3101974948889353,0.8052752074114518,0,15,0.06288670373360143
甘蓝,price,z,temp_max,日最高气温,12,0.03820114168001837,0.13449851052846096,0.77639006977464,0.9993687142937572,-0.22541593895576512,0.30181822231580185,0.3708466096814655,0,15,0.026204023629306197
甘蓝,price,z,temp_min,日最低气温,11,0.025054596906602177,0.13405104140483232,0.8517363646202158,0.9993687142937572,-0.23768544424686916,0.2877946380600735,0.15916263051418764,0,15,0.016734086932541536
甘蓝,price,z,vpd,饱和水汽压差VPD,8,-0.04300708563815862,0.11394233258986805,0.7058421354023215,0.9993687142937572,-0.2663340575143,0.18031988623798276,-0.4534783685757056,0,15,0.030559272989396837
甘蓝,volume,pct,precip_1d,当日降水,2,-0.8068786272051056,0.37469055709084687,0.031283068324813396,0.6402716835107006,-1.5412721191031653,-0.07248513530704581,-6.515961614154706,0,15,0.05072058870738112
甘蓝,volume,pct,precip_3d,3日累计降水,0,-1.1005229777662198,0.5021948566322206,0.028420963217622316,0.6119527181705577,-2.0848248967653724,-0.11622105876706734,-9.992112820611828,0,15,0.07214798972962037
甘蓝,volume,pct,precip_7d,7日累计降水,0,-1.1371350037511272,0.7090397070746882,0.1087652594723717,0.9993687142937572,-2.526852829617516,0.25258282211526173,-12.907078396433196,0,15,0.06813876397759991
甘蓝,volume,pct,soil_z,土壤水分异常,5,1.136559316595827,0.9855156551425781,0.2488022122903114,0.9993687142937572,-0.7950513674836261,3.06817000067528,12.54180034189397,0,15,0.0741204999086365
甘蓝,volume,pct,temp_max,日最高气温,5,-0.7344265925205471,1.295836517672834,0.5708781480836511,0.9993687142937572,-3.2742661671593014,1.8054129821182074,-8.153096915337116,0,15,0.04670668403733047
甘蓝,volume,pct,temp_min,日最低气温,3,-1.1874313475222935,1.3271221404610765,0.37092525132884013,0.9993687142937572,-3.7885907428260035,1.4137280477814163,-15.163399033651816,0,15,0.07293723877647698
甘蓝,volume,pct,vpd,饱和水汽压差VPD,5,-0.8306319805410847,1.118860696109933,0.45785054153420046,0.9993687142937572,-3.0235989449165532,1.362334983834384,-7.186612580529535,0,15,0.05304636329715762
甘蓝,volume,z,precip_1d,当日降水,2,-0.07214061679811154,0.03459954128654201,0.03706779672549145,0.6783883839022659,-0.13995571771973386,-0.004325515876489203,-0.6343388703251659,0,15,0.05193436089741971
甘蓝,volume,z,precip_3d,3日累计降水,0,-0.10277675473708842,0.04606367654860553,0.02566863196752813,0.5941432679417178,-0.19306156077235526,-0.01249194870182159,-0.967716192095675,0,15,0.07359060403728032
甘蓝,volume,z,precip_7d,7日累计降水,0,-0.1071408209374694,0.06479627333880983,0.09822857188618003,0.9993687142937572,-0.23414151668153665,0.019859874806597844,-1.257297338088123,0,15,0.07036198461058782
甘蓝,volume,z,soil_z,土壤水分异常,5,0.10782151074331019,0.09000934567970126,0.23095891047635453,0.9993687142937572,-0.06859680678890427,0.28423982827552463,1.2349356229986912,0,15,0.07657080305868073
甘蓝,volume,z,temp_max,日最高气温,5,-0.07327799544819319,0.11794964435680963,0.5344252244459455,0.9993687142937572,-0.30445929838754004,0.1579033074911537,-0.8438503005957355,0,15,0.050970077143647964
甘蓝,volume,z,temp_min,日最低气温,3,-0.11610334327731431,0.1205241039817108,0.3353866954926219,0.9993687142937572,-0.3523305870814675,0.12012390052683886,-1.5041467084251208,0,15,0.07816957786434839
甘蓝,volume,z,vpd,饱和水汽压差VPD,5,-0.07798645624832992,0.1026957129082532,0.44761720421099804,0.9993687142937572,-0.2792700535485062,0.12329714105184636,-0.6986929237284569,0,15,0.05429337769948525
芸豆,price,pct,precip_1d,当日降水,5,-1.0014051139729139,0.7890275299654622,0.2043826782339061,0.9993687142937572,-2.5478990727052198,0.545088844759392,-3.443316934371436,0,15,0.04312313790720364
芸豆,price,pct,precip_3d,3日累计降水,4,-1.2152352632797758,1.024584499525307,0.2355922187115922,0.9993687142937572,-3.2234208823493775,0.7929503557898261,-4.318832248728173,0,15,0.05448024304767102
芸豆,price,pct,precip_7d,7日累计降水,2,-0.8720534943751597,1.2134557674360753,0.47235481658347467,0.9993687142937572,-3.250426798549867,1.5063198097995478,-2.433135978945158,0,15,0.043311181994732495
芸豆,price,pct,soil_z,土壤水分异常,14,0.8257352432060836,1.6603923963692866,0.6189681252030079,0.9993687142937572,-2.428633853677718,4.0801043400898855,5.620922688264035,0,15,0.037889705430473965
芸豆,price,pct,temp_max,日最高气温,12,0.5807855004547575,1.7261957763773315,0.7365285226305494,0.9993687142937572,-2.802558221244812,3.9641292221543267,1.4419414115448173,0,15,0.023775330627133176
芸豆,price,pct,temp_min,日最低气温,0,-0.4784989226557093,1.6946542559200706,0.7776691356961275,0.9993687142937572,-3.8000212642590476,2.843023418947629,-0.5924388559929366,0,15,0.026766454495704584
芸豆,price,pct,vpd,饱和水汽压差VPD,8,-1.1740860404614586,1.5017248118049504,0.43431741116782596,0.9993687142937572,-4.1174666715991615,1.7692945906762443,-11.263984516239253,0,15,0.05379146868412895
芸豆,price,z,precip_1d,当日降水,5,-0.04520404448550018,0.03964433895448155,0.25418650108462826,0.9993687142937572,-0.12290694883628402,0.032498859865283655,-0.12768592690369332,0,15,0.03784435099598184
芸豆,price,z,precip_3d,3日累计降水,4,-0.05261334054016284,0.05180930015445457,0.3098583852262007,0.9993687142937572,-0.15415956884289378,0.048932887762568114,-0.15765109733499028,0,15,0.04618306125316531
芸豆,price,z,precip_7d,7日累计降水,2,-0.034883206719103,0.06030849540494627,0.5629854426717252,0.9993687142937572,-0.15308785771279768,0.08332144427459168,-0.07738328941698634,0,15,0.03460448625594237
芸豆,price,z,soil_z,土壤水分异常,14,0.06469298575082118,0.08493199917523443,0.4462370933664118,0.9993687142937572,-0.1017737326326383,0.23115970413428066,0.6732667859111993,0,15,0.05581535942962013
芸豆,price,z,temp_max,日最高气温,12,0.03345136489101003,0.09366069305411165,0.7209759312720424,0.9993687142937572,-0.1501235934950488,0.21702632327706886,0.1622463121507075,0,15,0.026051916750450696
芸豆,price,z,temp_min,日最低气温,11,0.022704729507698952,0.09676692777659106,0.8144934742869503,0.9993687142937572,-0.16695844893441952,0.2123679079498174,-0.01204265031853486,0,15,0.023290953320504702
芸豆,price,z,vpd,饱和水汽压差VPD,8,-0.050931222427434725,0.07880483935494731,0.5180879245977598,0.9993687142937572,-0.20538870756313143,0.10352626270826198,-0.4413557739161073,0,15,0.04484007818418559
芸豆,volume,pct,precip_1d,当日降水,5,0.23568236848794416,0.300286437505167,0.43253652540629817,0.9993687142937572,-0.3528790490221831,0.8242437859980714,-0.03694370223759287,0,15,0.029182657946422927
