target,feature_set,feature,is_weather,mean_abs_shap,share_of_total,causal_claim_allowed,rank
price,F_now,precip_7d_lag3d,True,0.0055566667806534915,0.00627300497582729,False,24
price,F_now,volume_anomaly_z_hist_lag2,False,0.005411186722328006,0.006108770342766912,False,25
price,F_now,temp_max_lag14d,True,0.005330381712640671,0.0060175483480262425,False,26
price,F_now,temp_max_lag7d,True,0.0052830022254113035,0.005964060929961737,False,27
price,F_now,precip_3d_lag3d,True,0.005149091079582464,0.005812886616787562,False,28
price,F_now,precip_3d_lag14d,True,0.004896530384810748,0.00552776703745316,False,29
price,F_now,vpd_lag1d,True,0.004651758704508821,0.005251440594085789,False,30
price,F_now,soil_moisture_0_7_lag1d,True,0.004537014907880889,0.005121904590649628,False,31
price,F_now,soil_moisture_0_7_lag3d,True,0.004420741785450385,0.004990642108238231,False,32
price,F_now,temp_min,True,0.0038048152841107263,0.004295313386872437,False,33
price,F_now,precip_1d,True,0.0036775837589982873,0.004151679798316933,False,34
price,F_now,vpd_lag3d,True,0.003636682305474479,0.0041055055302527165,False,35
price,F_now,crop_芹菜,False,0.0036118384860857836,0.004077458967664792,False,36
price,F_now,temp_max_lag1d,True,0.0033011616715459247,0.0037267312237827823,False,37
price,F_now,vpd_lag7d,True,0.003247443710780829,0.003666088207299597,False,38
price,F_now,volume_anomaly_z_hist_lag1,False,0.0032066150834364564,0.003619996153808254,False,39
price,F_now,humidity_z,True,0.00302808404172867,0.0034184497668858288,False,40
price,F_now,precipitation_lag3d,True,0.0030041959406257044,0.0033914821290919454,False,41
price,F_now,temp_mean,True,0.002905751877432671,0.0032803471406847536,False,42
price,F_now,precip_3d_lag1d,True,0.002838123460761955,0.003204000400628329,False,43
price,F_now,m10,False,0.002681744817831239,0.003027462190953259,False,44
price,F_now,precip_7d_lag7d,True,0.002486550576544644,0.0028071044665874943,False,45
price,F_now,soil_moisture_0_7_lag7d,True,0.002476409264435074,0.0027956557863199924,False,46
price,F_now,dry_spell_days,True,0.0024265779541140474,0.002739400468170605,False,47
price,F_now,precipitation_lag1d,True,0.001887720654595862,0.002131076331674355,False,48
price,F_now,precip_3d_lag7d,True,0.0018207076416942268,0.0020554243302189613,False,49
price,F_now,m4,False,0.0016271385190435167,0.0018369012268034234,False,50
price,F_now,crop_茄子,False,0.0014983932007023627,0.0016915586942296873,False,51
price,F_now,crop_韭菜,False,0.001393477392852739,0.0015731176556244844,False,52
price,F_now,m5,False,0.0012935066783058516,0.0014602592074675692,False,53
price,F_now,precipitation_lag14d,True,0.0012411951673543906,0.0014012039534015755,False,54
price,F_now,m3,False,0.0010562939158041333,0.0011924661404649054,False,55
price,F_now,crop_黄瓜,False,0.0009941563130082174,0.0011223180630452049,False,56
price,F_now,crop_西红柿,False,0.0008226293454203192,0.0009286786810844765,False,57
price,F_now,m2,False,0.0008190123573335418,0.0009245954086548862,False,58
price,F_now,precipitation_lag7d,True,0.0008037113880452983,0.0009073219135418962,False,59
price,F_now,m9,False,0.0006617550490258984,0.0007470652603772099,False,60
price,F_now,m8,False,0.0005872283357124699,0.0006629309291491981,False,61
price,F_now,is_public_holiday,False,0.0005636838767646043,0.0006363512341695843,False,62
price,F_now,m12,False,0.00047038912094446726,0.0005310293765559656,False,63
price,F_now,crop_尖椒,False,0.00046436482446640383,0.0005242284573584487,False,64
price,F_now,wet_spell_days,True,0.00027432504132060786,0.00030968967856586505,False,65
price,F_now,crop_青椒,False,0.00025454335687388643,0.00028735783649885973,False,66
price,F_now,m7,False,0.0,0.0,False,67
price,F_now,m6,False,0.0,0.0,False,68
volume,F_lag,volume_anomaly_z_hist_lag1,False,0.4122670255599486,0.437412756729249,False,1
volume,F_lag,volume_anomaly_z_hist_lag2,False,0.11470916050450806,0.12170570772723292,False,2
volume,F_lag,year_t,False,0.04360192158078113,0.046261368324177814,False,3
volume,F_lag,log_volume_lag1,False,0.02961592496811146,0.03142231267657982,False,4
volume,F_lag,is_public_holiday,False,0.0235449661555596,0.02498106303605553,False,5
volume,F_lag,vpd_lag14d,True,0.018868028972127877,0.02001886169658187,False,6
volume,F_lag,log_price_lag1,False,0.017420506329437067,0.018483049152012196,False,7
volume,F_lag,precip_3d_lag7d,True,0.015299007293234699,0.01623215183476172,False,8
volume,F_lag,temp_anomaly_lag1d,True,0.015238031038045309,0.016167456406255908,False,9
volume,F_lag,crop_黄瓜,False,0.014099665725457825,0.014959657871149832,False,10
volume,F_lag,temp_max_lag14d,True,0.013077741289422426,0.013875402383755226,False,11
volume,F_lag,soil_moisture_0_7_lag7d,True,0.013072995653823425,0.013870367293822985,False,12
volume,F_lag,temp_max_lag3d,True,0.01298123699613264,0.013773011927213715,False,13
volume,F_lag,precipitation_lag7d,True,0.012824548394047685,0.013606766292378033,False,14
volume,F_lag,precipitation_lag1d,True,0.01248910836802594,0.01325086650558277,False,15
volume,F_lag,precip_3d_lag1d,True,0.011778813557942795,0.012497248118211238,False,16
volume,F_lag,precip_7d_lag1d,True,0.011087390285386616,0.011763652315091206,False,17
volume,F_lag,soil_moisture_0_7_lag14d,True,0.010295432782545529,0.010923390317276493,False,18
volume,F_lag,temp_max_lag7d,True,0.01025471849089992,0.01088019270640088,False,19
volume,F_lag,vpd_lag3d,True,0.010123479676803314,0.010740949138749784,False,20
volume,F_lag,vpd_lag7d,True,0.009548123692779638,0.010130500008769897,False,21
volume,F_lag,temp_max_lag1d,True,0.00940698007204174,0.009980747502714245,False,22
volume,F_lag,precip_7d_lag7d,True,0.009403285782454765,0.009976827884379017,False,23
volume,F_lag,precip_7d_lag14d,True,0.008561171364205915,0.009083349710451875,False,24
volume,F_lag,soil_moisture_0_7_lag1d,True,0.008350732883984276,0.008860075788336376,False,25
volume,F_lag,soil_moisture_0_7_lag3d,True,0.008199434744410794,0.008699549400787052,False,26
volume,F_lag,vpd_lag1d,True,0.0070726768788181935,0.007504066294938809,False,27
volume,F_lag,price_anomaly_z_hist_lag1,False,0.0060409637330028285,0.00640942504718934,False,28
volume,F_lag,precip_7d_lag3d,True,0.005764370626055234,0.006115961476490396,False,29
volume,F_lag,price_anomaly_z_hist_lag2,False,0.005440588255066352,0.005772430389369811,False,30
volume,F_lag,precipitation_lag14d,True,0.005312040581598106,0.00563604210523162,False,31
volume,F_lag,crop_西红柿,False,0.004722778898752762,0.005010839115062283,False,32
volume,F_lag,crop_茄子,False,0.00467866642327473,0.004964036052220209,False,33
volume,F_lag,precip_3d_lag14d,True,0.004632784261473551,0.004915355363167059,False,34
volume,F_lag,crop_尖椒,False,0.00439552803276777,0.00466362797626672,False,35
volume,F_lag,precip_3d_lag3d,True,0.004264022664270168,0.0045241015960496645,False,36
volume,F_lag,precipitation_lag3d,True,0.0038599429940642414,0.004095375572562931,False,37
volume,F_lag,m2,False,0.0030124175068883246,0.0031961562880703114,False,38
volume,F_lag,crop_韭菜,False,0.0013395139641848408,0.001421216006678215,False,39
volume,F_lag,crop_青椒,False,0.0008899376410871091,0.0009442183166997741,False,40
volume,F_lag,m10,False,0.0008571553276721767,0.0009094364855229735,False,41
volume,F_lag,m9,False,0.0006830660048290691,0.0007247287939036763,False,42
volume,F_lag,crop_芸豆,False,0.0006408194847094885,0.0006799054981219565,False,43
volume,F_lag,crop_甘蓝,False,0.0006258737401954579,0.0006640481559045577,False,44
volume,F_lag,m11,False,0.0005869680267262382,0.000622769435255057,False,45
volume,F_lag,crop_芹菜,False,0.0005003360897100409,0.0005308534874792646,False,46
volume,F_lag,m12,False,0.000374154427102695,0.0003969755261875644,False,47
volume,F_lag,m5,False,0.00028679134305346926,0.00030428383594520675,False,48
volume,F_lag,m7,False,0.00019084750055736786,0.00020248801421918788,False,49
volume,F_lag,m6,False,0.00016848818049759138,0.00017876491433591513,False,50
volume,F_lag,m4,False,5.2414543157215246e-05,5.5611505149998674e-05,False,51
volume,F_lag,m8,False,0.0,0.0,False,52
volume,F_lag,m3,False,0.0,0.0,False,53
volume,F_wx,year_t,False,0.3928320707566,0.2701750678644195,False,1
volume,F_wx,crop_甘蓝,False,0.09763532557320032,0.06714989094932725,False,2
volume,F_wx,crop_芹菜,False,0.08818192863317657,0.06064820142356874,False,3
volume,F_wx,crop_西红柿,False,0.07542005192886986,0.051871064419396345,False,4
volume,F_wx,crop_尖椒,False,0.05145445461220108,0.03538843134676666,False,5
volume,F_wx,is_public_holiday,False,0.04280801815657738,0.02944173877738388,False,6
volume,F_wx,soil_moisture_0_7_lag3d,True,0.03693664386419244,0.025403629198277277,False,7
volume,F_wx,soil_moisture_0_7_lag14d,True,0.03557963816603162,0.024470331909471732,False,8
volume,F_wx,temp_max_lag14d,True,0.03405333183108421,0.02342059603421063,False,9
volume,F_wx,precip_7d_lag14d,True,0.031945438854818535,0.02197086682341415,False,10
volume,F_wx,precip_7d_lag1d,True,0.030424597951645375,0.02092488986579354,False,11
volume,F_wx,precipitation_lag1d,True,0.02978042204123287,0.02048184999387799,False,12
volume,F_wx,temp_anomaly_lag1d,True,0.029669392311318054,0.020405487937295068,False,13
volume,F_wx,vpd_lag1d,True,0.02919852955028186,0.020081646306511807,False,14
volume,F_wx,precip_3d_lag14d,True,0.026504706609518317,0.01822893658646843,False,15
volume,F_wx,temp_max_lag7d,True,0.024713463064457663,0.016996986900139684,False,16
volume,F_wx,soil_moisture_0_7_lag1d,True,0.02453820092414043,0.016876448216617556,False,17
volume,F_wx,temp_max_lag3d,True,0.024475534318994602,0.016833348491420735,False,18
volume,F_wx,crop_韭菜,False,0.024099593882146383,0.016574790851656696,False,19
volume,F_wx,precip_7d_lag3d,True,0.024046284839079467,0.01653812690438617,False,20
volume,F_wx,soil_moisture_0_7_lag7d,True,0.02279103967672094,0.015674816670388423,False,21
volume,F_wx,precip_3d_lag7d,True,0.020801284637659418,0.014306338272795717,False,22
volume,F_wx,precip_7d_lag7d,True,0.019969847430643426,0.013734507150662786,False,23
volume,F_wx,vpd_lag7d,True,0.01896160204263297,0.013041074036596868,False,24
volume,F_wx,m8,False,0.0187507390251347,0.012896050413772571,False,25
volume,F_wx,crop_黄瓜,False,0.01871235658580484,0.012869652421035438,False,26
volume,F_wx,temp_max_lag1d,True,0.018518648807910675,0.01273642752435726,False,27
volume,F_wx,m9,False,0.015642185689391904,0.010758104785181435,False,28
volume,F_wx,vpd_lag14d,True,0.014877910049301741,0.010232464853261458,False,29
volume,F_wx,precip_3d_lag1d,True,0.014270579223878014,0.009814765639806258,False,30
volume,F_wx,vpd_lag3d,True,0.013752960310030544,0.00945876689228216,False,31
volume,F_wx,m2,False,0.012834099167447773,0.008826808887740577,False,32
volume,F_wx,m11,False,0.012551088022943531,0.008632164506935436,False,33
volume,F_wx,m10,False,0.010887922798434669,0.007488302254202408,False,34
volume,F_wx,crop_茄子,False,0.010221431500887352,0.007029914701477715,False,35
volume,F_wx,precipitation_lag14d,True,0.008911739354079531,0.006129157887086803,False,36
volume,F_wx,crop_青椒,False,0.008887637237834537,0.006112581361449205,False,37
volume,F_wx,precip_3d_lag3d,True,0.008290302573805449,0.00570175713042092,False,38
volume,F_wx,m3,False,0.007858436041443661,0.005404735633513879,False,39
volume,F_wx,m12,False,0.006264705473224064,0.004308627916043118,False,40
volume,F_wx,m6,False,0.004325827501496024,0.0029751408446247003,False,41
volume,F_wx,precipitation_lag7d,True,0.0038618712281603034,0.002656049235344488,False,42
volume,F_wx,crop_芸豆,False,0.0037118156624430525,0.002552846682220429,False,43
volume,F_wx,m4,False,0.0015604874772966403,0.0010732443745445222,False,44
volume,F_wx,precipitation_lag3d,True,0.001328336711979569,0.0009135798424366562,False,45
volume,F_wx,m7,False,0.000870093911234023,0.0005984177439059585,False,46
volume,F_wx,m5,False,0.00027825246036802207,0.00019137153750858573,False,47
volume,F_now,volume_anomaly_z_hist_lag1,False,0.4170524812187441,0.4156735942265178,False,1
volume,F_now,volume_anomaly_z_hist_lag2,False,0.11051958305417123,0.1101541757677445,False,2
volume,F_now,year_t,False,0.035762713734149194,0.03564447264221125,False,3
volume,F_now,log_volume_lag1,False,0.029458413287944275,0.029361015898590134,False,4
volume,F_now,humidity_z,True,0.024411559119187094,0.02433084797887438,False,5
volume,F_now,is_public_holiday,False,0.020864978636327025,0.020795993439186762,False,6
volume,F_now,vpd,True,0.01788757911242717,0.01782843799405169,False,7
volume,F_now,temp_min,True,0.016293143357035886,0.016239273869503183,False,8
volume,F_now,log_price_lag1,False,0.016258716899411225,0.016204961234950545,False,9
volume,F_now,temp_max_lag7d,True,0.016135339336240884,0.01608199159098618,False,10
volume,F_now,soil_moisture_0_7_lag14d,True,0.015601783824191516,0.015550200156093348,False,11
volume,F_now,precip_deficit_14d,True,0.013764935575283157,0.013719425018534698,False,12
volume,F_now,precipitation_lag7d,True,0.01345187793663714,0.01340740243213075,False,13
volume,F_now,vpd_lag14d,True,0.012287622079497745,0.012246995916091885,False,14
volume,F_now,temp_anomaly_lag1d,True,0.010880278777671781,0.01084430566744238,False,15
volume,F_now,crop_黄瓜,False,0.010642434540544638,0.010607247806945323,False,16
volume,F_now,temp_max_lag3d,True,0.010216321576422147,0.010182543686193648,False,17
volume,F_now,precip_7d_lag1d,True,0.009926733016280663,0.009893912583246784,False,18
volume,F_now,soil_moisture_0_7_lag7d,True,0.009885410006667402,0.009852726198550052,False,19
volume,F_now,temp_max_lag14d,True,0.009346819506149961,0.009315916422207015,False,20
volume,F_now,wind_speed,True,0.009303147264500817,0.009272388572663522,False,21
volume,F_now,precip_3d_lag7d,True,0.009066668468761625,0.009036691639040171,False,22
volume,F_now,precip_7d_lag14d,True,0.008895795610842656,0.008866383732468381,False,23
volume,F_now,soil_moisture_0_7_z,True,0.008628117567042511,0.008599590703838563,False,24
volume,F_now,crop_尖椒,False,0.008290972575752488,0.008263560404017645,False,25
volume,F_now,vpd_lag3d,True,0.008237654414787429,0.008210418527146112,False,26
volume,F_now,precipitation_lag14d,True,0.007910778197870208,0.007884623050384803,False,27
volume,F_now,temp_z,True,0.007514715493179387,0.0074898698348738755,False,28
volume,F_now,precip_1d,True,0.006923841445417395,0.00690094937467027,False,29
volume,F_now,precip_7d_lag3d,True,0.0065491609787048976,0.0065275077017428644,False,30
volume,F_now,vpd_lag7d,True,0.0060793284545370176,0.006059228569498722,False,31
volume,F_now,m2,False,0.005865515373546779,0.005846122411712211,False,32
volume,F_now,precip_3d_lag14d,True,0.005739345545926774,0.0057203697352708974,False,33
volume,F_now,crop_西红柿,False,0.0057359372856111025,0.005716972743574949,False,34
volume,F_now,temp_max,True,0.005683830946393601,0.005665038681844322,False,35
volume,F_now,soil_moisture_0_7_lag3d,True,0.0053181998123615175,0.005300616422084361,False,36
volume,F_now,vpd_lag1d,True,0.005234676424928234,0.0052173691852979735,False,37
volume,F_now,precip_7d,True,0.0047032861371170825,0.004687735815833207,False,38
volume,F_now,price_anomaly_z_hist_lag2,False,0.00463827301128014,0.004622937640770034,False,39
volume,F_now,precip_3d,True,0.004627727743838308,0.004612427238801397,False,40
volume,F_now,precip_7d_lag7d,True,0.004405573463792622,0.0043910074601933415,False,41
volume,F_now,price_anomaly_z_hist_lag1,False,0.00429271912807337,0.004278526251076969,False,42
volume,F_now,precipitation_lag1d,True,0.004237709385197891,0.004223698385117016,False,43
volume,F_now,temp_mean,True,0.0039454452663682926,0.003932400569594308,False,44
volume,F_now,dry_spell_days,True,0.003626114520295071,0.003614125616333281,False,45
volume,F_now,soil_moisture_0_7_lag1d,True,0.003616809843061978,0.0036048517028505105,False,46
volume,F_now,crop_茄子,False,0.0033529377371088694,0.003341852028619776,False,47
volume,F_now,temp_max_lag1d,True,0.0033331843737400167,0.0033221639751508246,False,48
volume,F_now,precip_14d,True,0.0024207011893673026,0.0024126977041168825,False,49
volume,F_now,precip_3d_lag1d,True,0.002365131468511344,0.0023573117116133507,False,50
volume,F_now,crop_甘蓝,False,0.0022905242853014183,0.0022829511996956186,False,51
volume,F_now,precip_3d_lag3d,True,0.0021740095260900263,0.002166821669425701,False,52
volume,F_now,precipitation_lag3d,True,0.0019946030975452806,0.0019880084064938758,False,53
volume,F_now,wet_spell_days,True,0.0009389407132539283,0.0009358363242518678,False,54
volume,F_now,crop_青椒,False,0.0009257009167206827,0.0009226403020253138,False,55
volume,F_now,crop_韭菜,False,0.0007047197377075037,0.0007023897458641502,False,56
volume,F_now,m11,False,0.0006964076184466664,0.0006941051086916417,False,57
volume,F_now,crop_芸豆,False,0.0006465775008836197,0.0006444397428181857,False,58
volume,F_now,crop_芹菜,False,0.000508260693073537,0.0005065802473505167,False,59
volume,F_now,m6,False,0.0003063747495348065,0.00030536179271065426,False,60
volume,F_now,m12,False,0.0002550045644903737,0.000254161451230607,False,61
volume,F_now,m3,False,0.00021017227744033306,0.00020947739170642694,False,62
volume,F_now,m10,False,0.00015521435959898336,0.0001547011794331866,False,63
volume,F_now,m9,False,0.00013887803719828367,0.0001384188692814809,False,64
volume,F_now,m5,False,6.611262082776576e-05,6.589403482963191e-05,False,65
volume,F_now,m7,False,6.255976826971924e-05,6.23529289519151e-05,False,66
volume,F_now,m8,False,5.115080321593384e-05,5.098168498651996e-05,False,67
volume,F_now,m4,False,0.0,0.0,False,68
