crop,model,hazard_key,hazard_label,window,effect,se,t,p_value,n,r2,fdr_p,ci_low,ci_high
韭菜,per-crop HAC,temp_max,日最高气温,lag3-14,-0.5584468296428727,0.5109958421411116,-1.0928598309194413,0.27445534730514276,1409,0.09982217100751734,0.5839475474577506,-1.5599986802394517,0.4431050209537061
韭菜,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,0.2295899922105779,0.1515545713075943,1.514899816150074,0.12979777694931466,1409,0.09982217100751734,0.39947915650187327,-0.06745696755230696,0.5266369519734628
韭菜,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,0.6213216781874752,0.4534970482088283,1.3700677449643868,0.17066575539842876,1409,0.09982217100751734,0.43353645842781047,-0.26753253630182827,1.5101758926767785
韭菜,per-crop HAC,soil_z,土壤水分异常,lag0-2,0.2090428457642526,0.11992476643520233,1.7431165553047168,0.08131325733757691,1409,0.09982217100751734,0.39947915650187327,-0.026009696448743957,0.4440953879772492
韭菜,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.1725110107462087,0.18335638137781657,0.9408508689465225,0.3467812883019461,1409,0.09982217100751734,0.6421875709295298,-0.18686749675431177,0.5318895182467291
韭菜,per-crop HAC,wind,风速,lag0-2,-0.10579373942775237,0.10398671669263777,-1.0173774381246767,0.30897391080728476,1409,0.09982217100751734,0.629591638043568,-0.3096077041453224,0.09802022528981767
韭菜,per-crop HAC,wind,风速,lag3-14,0.13351370782713157,0.25081957122827475,0.5323097682262549,0.5945114678626082,1409,0.09982217100751734,0.7941046257113443,-0.35809265178028693,0.6251200674345501
黄瓜,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.16872393471331013,0.10699344486345805,-1.5769558119063345,0.11480569296327957,1409,0.1852534185500515,0.39947915650187327,-0.3784310866456879,0.04098321721906764
黄瓜,per-crop HAC,precip_3d,3日累计降水,lag3-14,-0.1495161958989294,0.26698992095531904,-0.560006892259993,0.5754747365546369,1409,0.1852534185500515,0.7941046257113443,-0.6728164409713547,0.37378404917349595
黄瓜,per-crop HAC,temp_max,日最高气温,lag0-2,0.716429401717655,0.35327644049922985,2.027956918681694,0.04256464512454713,1409,0.1852534185500515,0.3869513193140648,0.02400757833916456,1.4088512250961456
黄瓜,per-crop HAC,temp_max,日最高气温,lag3-14,-0.9707765000550846,0.49370863841102675,-1.9662943374445985,0.04926462054900643,1409,0.1852534185500515,0.39947915650187327,-1.9384454313406971,-0.0031075687694722687
黄瓜,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,-0.09819771339469952,0.1726586631239898,-0.5687389883482514,0.5695332847376322,1409,0.1852534185500515,0.7941046257113443,-0.43660869311771955,0.24021326632832052
黄瓜,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,0.2945742291993781,0.41941247436297885,0.7023497087128601,0.48246110035410705,1409,0.1852534185500515,0.7351100937688755,-0.5274742205520604,1.1166226789508167
