target_kind,target,feature_set,model,rmse_test,r2_test,best_baseline,best_baseline_rmse,beats_baseline,complex_beats_simple,mae_test,n_test
strict,price,F_now,elasticnet,0.06906817270189927,0.902788237297831,baseline_persistence,0.06914568036896217,True,True,0.04405984980026808,1750
strict,price,F_now,gam,0.08460155556765647,0.8541455840614572,baseline_persistence,0.06914568036896217,False,False,0.05914082295068743,1750
strict,price,F_now,lightgbm,0.07656295455775806,0.88054612170443,baseline_persistence,0.06914568036896217,False,False,0.05184261107226201,1750
strict,price,F_wx,baseline_mean,0.21117591437562738,0.09123487479630854,baseline_persistence,0.06914568036896217,False,False,0.16571222586771325,1750
strict,price,F_wx,baseline_seasonal_naive,0.3026475569052487,-0.8665396955573108,baseline_persistence,0.06914568036896217,False,False,0.2331904365542284,1750
strict,price,F_wx,baseline_persistence,0.06914568036896217,0.9025699345889421,baseline_persistence,0.06914568036896217,False,False,0.04021739959202181,1750
strict,price,F_wx,elasticnet,0.27281052404120626,-0.516649146965616,baseline_persistence,0.06914568036896217,False,False,0.2174016249920801,1750
strict,price,F_wx,gam,0.29569382074863904,-0.7817525272754948,baseline_persistence,0.06914568036896217,False,False,0.23383977275100964,1750
strict,price,F_wx,lightgbm,0.29564226674084776,-0.7811312868594162,baseline_persistence,0.06914568036896217,False,False,0.24025589078223675,1750
strict,volume,F_lag,baseline_mean,0.059175701055949645,0.5145422338162073,baseline_persistence,0.03197814092888266,False,False,0.046583435634024714,1750
